Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Non-Fatal,Substantial,Airplane,Mcdonnell Douglas,Dc9,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,44.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,401B,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC
Accident,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,R172K,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Navion,A,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Fatal(2),Destroyed,Airplane,Beech,19,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC
Accident,Fatal(3),Destroyed,Airplane,Cessna,180,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Incident,Incident,Minor,Airplane,Piper,Pa-24-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Grumman,Aa-5B,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC
Accident,Fatal(8),Destroyed,Airplane,Cessna,414A,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Beechcraft,Be-58,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Bellanca,7Gcbc,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Air Tractor,At-301,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC
Accident,Fatal(4),Destroyed,Airplane,Piper,Pa-28-161,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Piper,Pa-34-200T,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Cessna,T337G,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28R-200,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,206,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC
Accident,Fatal(3),Destroyed,Airplane,Navion,A,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Piper,Pa-22,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Fatal(2),Destroyed,Airplane,Piper,Pa-31,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC
Incident,Incident,Minor,Airplane,Rockwell,114,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-24-250,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28R-200,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC
